iter	Passed	Remaining
405	6660	9744
406	6679	9731
407	6691	9709
408	6705	9688
409	6718	9668
410	6731	9647
411	6743	9624
412	6766	9617
413	6781	9599
414	6794	9578
415	6808	9557
416	6822	9537
417	6835	9516
418	6859	9511
419	6878	9498
420	6889	9475
421	6903	9455
422	6916	9434
423	6930	9414
424	6944	9394
425	6969	9390
426	6983	9371
427	6995	9349
428	7008	9328
429	7022	9308
430	7036	9289
431	7060	9282
432	7078	9268
433	7090	9247
434	7102	9224
435	7114	9203
436	7127	9182
437	7140	9161
438	7163	9154
439	7179	9137
440	7192	9117
441	7206	9098
442	7220	9078
443	7234	9058
444	7251	9044
445	7275	9036
446	7289	9017
447	7300	8995
448	7315	8976
449	7329	8958
450	7344	8940
451	7364	8928
452	7379	8910
453	7392	8890
454	7405	8870
455	7419	8851
456	7432	8831
457	7450	8817
458	7473	8809
459	7487	8789
460	7500	8769
461	7513	8749
462	7526	8730
463	7541	8712
464	7563	8701
465	7577	8683
466	7591	8664
467	7603	8642
468	7616	8623
469	7630	8604
470	7647	8589
471	7671	8581
472	7683	8560
473	7697	8541
474	7711	8522
475	7725	8504
476	7738	8485
477	7761	8476
478	7775	8457
479	7789	8438
480	7802	8418
481	7815	8398
482	7829	8380
483	7846	8365
484	7864	8351
485	7879	8333
486	7895	8317
487	7908	8297
488	7923	8279
489	7936	8260
490	7959	8251
491	7974	8234
492	7988	8214
493	8002	8196
494	8015	8177
495	8026	8155
496	8040	8137
497	8063	8128
498	8077	8109
499	8092	8092
500	8106	8074
501	8120	8056
502	8134	8037
503	8157	8027
504	8173	8011
505	8186	7992
506	8198	7972
507	8212	7953
508	8225	7934
509	8241	7918
510	8264	7908
511	8277	7889
512	8290	7870
513	8305	7852
514	8320	7835
515	8333	7816
516	8357	7808
517	8372	7790
518	8385	7771
519	8399	7753
520	8412	7734
521	8425	7715
522	8440	7698
523	8464	7688
524	8477	7669
525	8488	7649
526	8502	7631
527	8517	7614
528	8529	7594
529	8551	7582
530	8568	7567
531	8581	7549
532	8595	7530
533	8606	7510
534	8620	7492
535	8633	7473
536	8658	7465
537	8673	7448
538	8687	7430
539	8700	7411
540	8714	7393
541	8729	7376
542	8747	7362
543	8766	7348
544	8780	7330
545	8792	7310
546	8805	7292
547	8818	7273
548	8832	7255
549	8854	7244
550	8869	7227
551	8883	7209
552	8896	7190
553	8909	7172
554	8923	7154
555	8940	7139
556	8964	7129
557	8978	7111
558	8990	7093
559	9004	7074
560	9015	7054
561	9028	7036
562	9051	7025
563	9067	7009
564	9080	6990
565	9093	6972
566	9108	6955
567	9121	6937
568	9139	6922
569	9162	6911
570	9175	6893
571	9189	6876
572	9203	6858
573	9214	6838
574	9228	6820
575	9253	6811
576	9268	6794
577	9280	6775
578	9293	6757
579	9307	6739
580	9320	6721
581	9336	6705
582	9358	6693
583	9373	6676
584	9386	6659
585	9398	6640
586	9411	6622
587	9425	6604
588	9446	6591
589	9463	6576
590	9474	6556
591	9488	6539
592	9501	6521
593	9513	6502
594	9527	6485
595	9550	6473
596	9567	6458
597	9582	6441
598	9595	6424
599	9609	6406
600	9623	6388
601	9642	6375
602	9661	6361
603	9675	6343
604	9687	6324
605	9699	6306
606	9710	6286
607	9720	6267
608	9733	6249
609	9752	6235
610	9765	6217
611	9776	6198
612	9792	6181
613	9806	6164
614	9819	6147
615	9836	6131
616	9858	6119
617	9871	6101
618	9884	6083
619	9897	6066
620	9910	6048
621	9923	6030
622	9946	6018
623	9963	6003
624	9977	5986
625	9991	5969
626	10004	5951
627	10017	5934
628	10036	5919
629	10056	5906
630	10070	5888
631	10082	5871
632	10095	5853
633	10109	5835
634	10123	5819
635	10147	5807
636	10163	5791
637	10177	5774
638	10190	5756
639	10205	5740
640	10217	5722
641	10237	5708
642	10257	5694
643	10269	5677
644	10284	5660
645	10297	5642
646	10310	5625
647	10324	5608
648	10346	5595
649	10362	5579
650	10375	5562
651	10389	5545
652	10400	5526
653	10410	5507
654	10421	5489
655	10436	5472
656	10453	5457
657	10463	5438
658	10473	5419
659	10483	5400
660	10493	5381
661	10504	5363
662	10515	5344
663	10526	5326
664	10547	5313
665	10559	5295
666	10571	5277
667	10585	5260
668	10600	5244
669	10610	5226
670	10627	5210
671	10652	5199
672	10664	5181
673	10676	5163
674	10689	5146
675	10703	5129
676	10717	5113
677	10742	5101
678	10754	5084
679	10765	5066
680	10775	5047
681	10785	5029
682	10796	5010
683	10807	4992
684	10817	4974
685	10837	4960
686	10851	4944
687	10862	4925
688	10874	4908
689	10887	4891
690	10900	4874
691	10915	4858
692	10936	4845
693	10954	4829
694	10967	4813
695	10979	4795
696	10992	4778
697	11006	4762
698	11018	4744
699	11042	4732
700	11057	4716
701	11069	4698
702	11082	4682
703	11095	4665
704	11109	4648
705	11125	4633
706	11149	4620
707	11162	4603
708	11176	4587
709	11190	4570
710	11204	4554
711	11218	4537
712	11243	4525
713	11257	4509
714	11269	4491
715	11281	4474
716	11293	4457
717	11306	4440
718	11320	4424
719	11341	4410
720	11357	4394
721	11370	4378
722	11384	4361
723	11398	4345
724	11411	4328
725	11431	4314
726	11451	4300
727	11464	4283
728	11477	4266
729	11490	4249
730	11502	4232
731	11517	4216
732	11538	4202
733	11554	4187
734	11568	4171
735	11581	4154
736	11594	4137
737	11607	4120
738	11625	4105
739	11650	4093
740	11664	4076
741	11676	4060
742	11690	4043
743	11703	4026
744	11713	4009
745	11739	3997
746	11755	3981
747	11765	3963
748	11778	3947
749	11791	3930
750	11804	3913
751	11818	3897
752	11844	3885
753	11858	3868
754	11872	3852
755	11885	3836
756	11899	3819
757	11913	3803
758	11935	3789
759	11948	3773
760	11961	3756
761	11974	3740
762	11988	3723
763	12001	3707
764	12016	3691
765	12037	3677
766	12053	3661
767	12068	3645
768	12081	3629
769	12095	3613
770	12110	3596
771	12133	3583
772	12148	3567
773	12162	3551
774	12174	3534
775	12188	3518
776	12200	3501
777	12216	3486
778	12238	3471
779	12251	3455
780	12264	3439
781	12278	3423
782	12293	3406
783	12306	3390
784	12330	3377
785	12346	3361
786	12360	3345
787	12374	3329
788	12387	3312
789	12400	3296
790	12417	3280
791	12440	3267
792	12453	3250
793	12467	3234
794	12480	3218
795	12494	3202
796	12508	3186
797	12533	3172
798	12548	3156
799	12561	3140
800	12574	3123
801	12587	3107
802	12601	3091
803	12622	3077
804	12641	3062
805	12654	3045
806	12668	3029
807	12682	3013
808	12696	2997
809	12712	2981
810	12734	2967
811	12748	2951
812	12762	2935
813	12775	2919
814	12788	2902
815	12800	2886
816	12820	2871
817	12838	2856
818	12851	2840
819	12865	2824
820	12880	2808
821	12894	2792
822	12911	2776
823	12937	2763
824	12951	2747
825	12965	2731
826	12978	2715
827	12992	2698
828	13006	2682
829	13031	2669
830	13045	2652
831	13055	2636
832	13068	2620
833	13082	2603
834	13094	2587
835	13111	2572
836	13134	2557
837	13146	2541
838	13158	2525
839	13172	2509
840	13185	2492
841	13198	2476
842	13220	2462
843	13237	2446
844	13251	2430
845	13264	2414
846	13278	2398
847	13292	2382
848	13307	2366
849	13331	2352
850	13345	2336
851	13358	2320
852	13371	2304
853	13384	2288
854	13396	2271
855	13410	2255
856	13431	2241
857	13443	2224
858	13457	2208
859	13470	2192
860	13483	2176
861	13497	2160
862	13521	2146
863	13537	2130
864	13549	2114
865	13562	2098
866	13575	2082
867	13587	2066
868	13599	2050
869	13623	2035
870	13639	2020
871	13652	2004
872	13664	1987
873	13677	1971
874	13691	1955
875	13708	1940
876	13732	1925
877	13745	1910
878	13758	1894
879	13772	1878
880	13786	1862
881	13799	1846
882	13822	1831
883	13838	1815
884	13851	1799
885	13864	1783
886	13877	1767
887	13890	1751
888	13909	1736
889	13930	1721
890	13944	1705
891	13957	1689
892	13970	1673
893	13984	1658
894	13999	1642
895	14020	1627
896	14036	1611
897	14050	1595
898	14062	1579
899	14076	1564
900	14090	1548
901	14104	1532
902	14128	1517
903	14142	1501
904	14155	1485
905	14169	1470
906	14182	1454
907	14196	1438
908	14218	1423
909	14233	1407
910	14247	1391
911	14260	1376
912	14274	1360
913	14288	1344
914	14307	1329
915	14329	1314
916	14342	1298
917	14354	1282
918	14366	1266
919	14379	1250
920	14393	1234
921	14414	1219
922	14432	1203
923	14445	1188
924	14458	1172
925	14472	1156
926	14484	1140
927	14498	1124
928	14520	1109
929	14537	1094
930	14551	1078
931	14564	1062
932	14578	1046
933	14591	1031
934	14614	1015
935	14630	1000
936	14642	984
937	14655	968
938	14669	952
939	14680	937
940	14694	921
941	14716	906
942	14733	890
943	14747	874
944	14761	859
945	14774	843
946	14788	827
947	14808	812
948	14827	796
949	14840	781
950	14853	765
951	14865	749
952	14878	733
953	14891	718
954	14913	702
955	14930	687
956	14943	671
957	14958	655
958	14970	640
959	14984	624
960	15000	608
961	15023	593
962	15036	577
963	15050	562
964	15064	546
965	15077	530
966	15091	515
967	15114	499
968	15129	484
969	15142	468
970	15156	452
971	15171	437
972	15183	421
973	15200	405
974	15221	390
975	15234	374
976	15247	358
977	15261	343
978	15274	327
979	15287	311
980	15308	296
981	15325	280
982	15339	265
983	15352	249
984	15366	234
985	15380	218
986	15397	202
987	15418	187
988	15432	171
989	15445	156
990	15459	140
991	15472	124
992	15485	109
993	15506	93
994	15522	78
995	15536	62
996	15547	46
997	15560	31
998	15574	15
999	15587	0
